id;red;green;blue;RGB;hue(360);sat(100);brit(100);altura;largura;ano;mes;categoria;autor;Museum Latitude;Museum Longitude;nome
1;91.94519;77.949814;51.763393;131.18513;86.368484;42.25362;37.617054;46.5;38.5;1886;4;self-portrait;Van Gogh;-30.034733;-51.205823;439px-Self-Portrait9_Van_Gogh.jpg
2;105.370224;89.001305;93.046364;166.37831;211.01816;21.47508;43.28578;46;38;1886;3;self-portrait;Van Gogh;48.85338;2.35107;439px-Vincent_Willem_van_Gogh_108.jpg
3;97.94559;89.593925;80.91775;155.4609;96.00184;20.953754;40.228874;39.5;29.5;1886;11;self-portrait;Van Gogh;-30.034733;-51.205823;450px-Van_Gogh_-_Selbstbildnis_mit_Strohhut_und_Pfeife.jpeg
4;109.643524;101.52197;84.801;171.81276;68.171745;22.43011;44.23115;27;19;1886;5;self-portrait;Van Gogh;48.85338;2.35107;454px-Van_Gogh_-_Selbsbildnis13.jpeg
5;131.42491;122.942635;94.94994;203.477;107.21415;31.413136;54.826122;41.5;32.5;1886;4;self-portrait;Van Gogh;-30.06177;-51.17204;456px-Van_Gogh_-_Selbstbildnis_mit_Strohhut1.jpeg
6;109.67307;104.96353;90.49164;176.73218;126.12963;29.339533;47.064533;41;33;1887;6;self-portrait;Van Gogh;48.85338;2.35107;457px-Van_Gogh_Self-Portrait_Autumn_1887.jpg
7;158.3954;139.85881;107.47268;237.06532;89.06019;47.71125;68.98382;19;14;1887;3;self-portrait;Van Gogh;-30.06177;-51.17204;463px-Van_Gogh_Self-Portrait_with_Straw_Hat_1887-Detroit.jpg
8;166.23149;145.31439;105.662636;244.7729;49.969967;35.810932;65.46411;41.5;31.5;1887;7;self-portrait;Van Gogh;48.85338;2.35107;474px-Van_Gogh_Self-Portrait_with_Straw_Hat_1887-Metropolitan.jpg
9;192.28867;170.72952;135.23;290.53513;42.565075;30.787271;75.88301;42.5;31.5;1887;8;self-portrait;Van Gogh;-30.06177;-51.17204;485px-Vincent_van_Gogh_-_Zelfportret_-_Google_Art_Project.jpg
10;111.048454;117.54092;102.02677;191.19908;100.97293;20.313631;47.436527;41;31;1887;8;self-portrait;Van Gogh;48.85338;2.35107;Self-Portrait2.jpg
11;86.97863;64.37426;66.63966;127.08333;218.33171;40.025482;35.56331;47;35;1887;10;self-portrait;Van Gogh;-30.06177;-51.17204;Self-Portrait6.jpg
12;37.620716;31.851923;20.71355;53.46882;104.12958;49.349686;15.977169;34.9;26.7;1887;7;self-portrait;Van Gogh;48.85338;2.35107;Self-Portrait7.jpg
13;112.49053;89.60804;82.30503;165.70407;114.68418;33.723152;44.447845;40.8;32.9;1887;2;self-portrait;Van Gogh;-30.06177;-51.17204;Self-Portrait_with_a_Japanese_Print18.jpg
14;91.20278;85.88289;61.17816;139.41516;50.974182;32.378513;36.271576;61;50;1887;3;self-portrait;Van Gogh;48.85338;2.35107;Self-Portrait_with_Dark_Felt_Hat_at_the_Easel22.jpg
15;102.024536;88.41815;71.20822;152.63481;75.99256;27.78915;40.267258;19;14;1887;5;self-portrait;Van Gogh;-30.06177;-51.17204;Self-Portrait_with_Pipe_and_Glass28.jpg
16;114.29796;146.36034;91.56028;207.04747;93.3717;45.281284;59.832363;41;33.5;1887;7;self-portrait;Van Gogh;48.85338;2.35107;VanGogh-self-portrait-dedicated_to_gaugin.jpg
17;91.28023;99.77391;40.68567;141.217;74.74545;67.52296;41.526608;42;34;1887;6;self-portrait;Van Gogh;-30.06177;-51.17204;VanGogh-self-portrait-with_bandaged_ear.jpg
18;103.19126;86.90672;63.92233;149.28925;47.372017;34.023876;40.69446;41;32;1887;1;self-portrait;Van Gogh;48.85338;2.35107;Van_Gogh_-_Selbstbildnis.jpeg
19;95.75425;82.88924;73.07915;146.21924;122.603714;22.54229;38.662067;32;23;1887;3;self-portrait;Van Gogh;-30.06177;-51.17204;Van_Gogh_-_Selbstbildnis27.jpeg
20;160.69658;159.53589;89.63292;243.5347;63.481;45.230545;66.424866;42;33.7;1887;4;self-portrait;Van Gogh;48.85338;2.35107;Van_Gogh_-_Selbstbildnis34.jpeg
21;139.22481;125.787636;94.62812;210.14413;49.71448;31.359982;55.03484;41;33;1887;5;self-portrait;Van Gogh;-30.06177;-51.17204;Van_Gogh_-_Selbstbildnis_29.jpeg
22;71.96476;68.02022;66.36115;119.20352;158.28902;13.803971;29.3963;19;14;1887;4;self-portrait;Van Gogh;48.85338;2.35107;Van_Gogh_-_Selbstbildnis_mit_Pfeife.jpeg
23;80.13039;72.84267;47.604088;118.292366;56.04164;40.02553;32.704124;44;35;1887;12;self-portrait;Van Gogh;-30.06177;-51.17204;Van_Gogh_Self-Portrait_with_Dark_Felt_Hat_1886.jpg
24;100.76784;101.56098;62.487404;156.12004;74.343285;42.610806;42.728745;46.5;35.5;1887;12;self-portrait;Van Gogh;48.85338;2.35107;Van_Gogh_Self-Portrait_with_Grey_Felt_Hat_1886-87_Rijksmuseum.jpg
25;138.08574;130.3221;78.25411;205.36609;60.145145;46.276516;55.253307;44;37.5;1888;1;self-portrait;Van Gogh;-30.06177;-51.17204;Van_Gogh_self_portrait_as_an_artist.jpg
26;56.585228;55.524063;69.72623;105.577255;200.7148;49.522556;32.18874;46;38;1888;1;self-portrait;Van Gogh;48.85338;2.35107;Vincent_van_Gogh_Portrait_of_Theo_van_Gogh_(1887).jpg
27;138.41142;129.8429;110.16022;219.43604;78.34488;30.076756;57.699314;40.6;31.8;1888;1;self-portrait;Van Gogh;-30.06177;-51.17204;Vincent_van_Gogh_-_Self-portrait_-_Google_Art_Project.jpg
