id;red;green;blue;RGB;hue(360);sat(100);brit(100);altura;largura;ano;mes;nome
1;91.94519;77.949814;51.763393;131.18513;86.368484;42.25362;37.617054;46.5;38.5;1886.01;4;439px-Self-Portrait9_Van_Gogh.jpg
2;105.370224;89.001305;93.046364;166.37831;211.01816;21.47508;43.28578;46;38;1886;3;439px-Vincent_Willem_van_Gogh_108.jpg
3;97.94559;89.593925;80.91775;155.4609;96.00184;20.953754;40.228874;39.5;29.5;1886.04;10;450px-Van_Gogh_-_Selbstbildnis_mit_Strohhut_und_Pfeife.jpeg
4;109.643524;101.52197;84.801;171.81276;68.171745;22.43011;44.23115;27;19;1886.03;5;454px-Van_Gogh_-_Selbsbildnis13.jpeg
5;131.42491;122.942635;94.94994;203.477;107.21415;31.413136;54.826122;41.5;32.5;1886.02;4;456px-Van_Gogh_-_Selbstbildnis_mit_Strohhut1.jpeg
6;109.67307;104.96353;90.49164;176.73218;126.12963;29.339533;47.064533;41;33;1887.1;6;457px-Van_Gogh_Self-Portrait_Autumn_1887.jpg
7;158.3954;139.85881;107.47268;237.06532;89.06019;47.71125;68.98382;19;14;1887.02;3;463px-Van_Gogh_Self-Portrait_with_Straw_Hat_1887-Detroit.jpg
8;166.23149;145.31439;105.662636;244.7729;49.969967;35.810932;65.46411;41.5;31.5;1887.11;7;474px-Van_Gogh_Self-Portrait_with_Straw_Hat_1887-Metropolitan.jpg
9;192.28867;170.72952;135.23;290.53513;42.565075;30.787271;75.88301;42.5;31.5;1887.14;8;485px-Vincent_van_Gogh_-_Zelfportret_-_Google_Art_Project.jpg
10;91.20278;85.88289;61.17816;139.41516;50.974182;32.378513;36.271576;41;31;1887.15;8;Self-Portrait_with_Dark_Felt_Hat_at_the_Easel22.jpg
11;102.024536;88.41815;71.20822;152.63481;75.99256;27.78915;40.267258;47;35;1887.16;10;Self-Portrait_with_Pipe_and_Glass28.jpg
12;111.048454;117.54092;102.02677;191.19908;100.97293;20.313631;47.436527;34.9;26.7;1887.12;7;Self-Portrait2.jpg
13;86.97863;64.37426;66.63966;127.08333;218.33171;40.025482;35.56331;40.8;32.9;1887.01;2;Self-Portrait6.jpg
14;37.620716;31.851923;20.71355;53.46882;104.12958;49.349686;15.977169;61;50;1887.03;3;Self-Portrait7.jpg
15;103.19126;86.90672;63.92233;149.28925;47.372017;34.023876;40.69446;19;14;1887.08;5;Van_Gogh_-_Selbstbildnis.jpeg
16;71.96476;68.02022;66.36115;119.20352;158.28902;13.803971;29.3963;41;33.5;1887.13;7;Van_Gogh_-_Selbstbildnis_mit_Pfeife.jpeg
17;80.13039;72.84267;47.604088;118.292366;56.04164;40.02553;32.704124;42;34;1887.09;6;Van_Gogh_Self-Portrait_with_Dark_Felt_Hat_1886.jpg
18;100.76784;101.56098;62.487404;156.12004;74.343285;42.610806;42.728745;41;32;1887;1;Van_Gogh_Self-Portrait_with_Grey_Felt_Hat_1886-87_Rijksmuseum.jpg
