id;red;green;blue;RGB;hue(360);sat(100);brit(100);altura;largura;ano;mes;categoria;autor;Museum Latitude;Museum Longitude;nome
42;86.95025;89.25148;56.203495;136.6931;113.939865;44.964645;38.60261;50.5;103;1890;7;peasant life;Van Gogh;48.85338;2.35107;img13.png
43;151.9023;140.40831;125.50923;241.95325;34.85638;15.875083;59.571575;82;114;1885;4;figures;Van Gogh;-30.06177;-51.17204;img14.png
44;115.77396;106.07084;91.29179;181.62827;78.2344;18.46641;45.56064;72.4;91.3;1888;10;landscape;Van Gogh;48.85338;2.35107;img15.png
45;72.65968;70.78185;74.369896;125.7791;176.55194;21.24326;31.609158;95;73;1889;1;peasant life;Van Gogh;-30.06177;-51.17204;img16.png
46;151.67085;134.83772;117.427704;234.46646;32.568798;22.219639;59.494736;50.3;100.1;1890;7;nature;Van Gogh;48.85338;2.35107;img17.png
47;135.93167;117.88857;110.36962;211.08432;59.753307;19.65869;53.38268;72;91.5;1888;9;peasant life;Van Gogh;-30.06177;-51.17204;img18.png
48;196.84679;178.07442;151.77612;305.76978;44.7969;23.03058;77.46026;73.3;92.4;1890;2;cityscape;Van Gogh;48.85338;2.35107;img19.png
49;155.26625;158.29372;121.528694;252.8512;77.37715;30.545662;65.326126;92.7;73.9;1890;5;cityscape;Van Gogh;-30.06177;-51.17204;img2.png
50;170.00679;151.4309;125.68314;260.05743;34.766106;27.256674;66.69588;32.5;40.3;1888;9;nature;Van Gogh;48.85338;2.35107;img20.png
51;157.91148;135.06252;111.121346;235.6393;34.419147;33.069157;61.955246;50.4;31.6;1882;11;nature;Van Gogh;-30.06177;-51.17204;img21.png
52;149.58337;129.04709;91.543686;217.73512;55.877605;39.46371;59.837326;41.7;54.1;1883;12;interior;Van Gogh;48.85338;2.35107;img22.png
53;154.13632;131.46011;100.48223;226.13368;34.487984;34.814438;60.43048;35.5;44.6;1884;8;nature;Van Gogh;-30.06177;-51.17204;img23.png
54;148.13573;151.70407;152.80655;261.3583;131.77454;21.891315;64.82777;39.5;54.2;1884;3;cityscape;Van Gogh;48.85338;2.35107;img24.png
55;129.33179;123.51282;108.24728;209.0445;50.22628;17.183645;50.931934;55.7;41;1885;9;landscape;Van Gogh;-30.06177;-51.17204;img25.png
60;178.06133;155.56339;89.08437;252.6694;55.07582;49.970383;71.169014;61.8;47.1;1889;6;landscape;Van Gogh;48.85338;2.35107;img3.png
61;81.088776;128.24655;150.37953;213.62718;175.56195;54.094444;64.378746;44.3;54;1890;5;landscape;Van Gogh;-30.06177;-51.17204;img4.png
62;85.602264;84.92623;64.073395;136.54893;107.85831;73.84508;46.954933;38;55.8;1882;7;nature;Van Gogh;48.85338;2.35107;img5.png
63;32.752598;35.09114;22.386019;52.964653;92.20559;36.434288;14.333557;46.2;55.2;1887;7;peasant life;Van Gogh;-30.06177;-51.17204;img6.png
64;158.16496;137.12207;90.04513;227.8744;79.40787;54.773296;67.42076;53.7;65.2;1887;7;interior;Van Gogh;48.85338;2.35107;img7.png
65;66.18376;56.568604;13.219001;88.062706;18.21843;29.6828;26.092587;81;100;1887;7;still life;Van Gogh;-30.06177;-51.17204;img8.png
66;123.56501;120.10077;96.356674;197.42622;105.94734;44.662422;56.5088;18.8;27;1887;8;nature;Van Gogh;48.85338;2.35107;img9.png
67;67.46831;57.966873;37.33572;96.46806;42.960674;45.309296;27.034372;34;55;1881;12;still life;Van Gogh;48.85338;2.35107;img26.jpg
68;95.223885;95.36766;71.261055;152.44907;60.542015;24.910046;37.781643;35.4;55.7;1883;10;landscape;Van Gogh;48.85338;2.35107;img27.jpg
69;79.56666;82.66434;67.57527;133.15654;83.54529;18.754875;32.7919;27.8;36.5;1883;10;peasant life;Van Gogh;48.85338;2.35107;img28.jpg
70;98.511406;98.73501;85.24437;163.46161;62.83622;20.51916;40.26752;37.5;55;1883;10;landscape;Van Gogh;48.85338;2.35107;img29.jpg
71;116.61962;115.12267;94.01072;188.92163;68.39683;23.116154;46.596878;41.3;32.1;1884;2;peasant life;Van Gogh;48.85338;2.35107;img30.jpg
72;110.29582;116.74055;93.45591;185.81586;96.43121;25.862934;45.523144;26.6;19.1;1887;8;nature/animals;Van Gogh;48.85338;2.35107;img31.jpg
